fighter,pearson
Tom Duquesnoy,0.11373561374908822
Mark Godbeer,0.042754754406379346
Mike Pyle,0.34574826589852503
CB Dollaway,0.1725586224021209
Bryan Caraway,0.023604236629811606
Jordan Johnson,nan
Maryna Moroz,nan
Albert Morales,0.08611764413035121
Steven Peterson,0.025127927106502704
Oskar Piechota,nan
Joshua Burkman,-0.11999287408440364
Rob Wilkinson,nan
Tyson Pedro,-0.1305090453910527
Damien Brown,nan
Timothy Johnson,nan
Alan Patrick,nan
Lyoto Machida,0.2723656331835632
Maia Stevenson,nan
Iuri Alcantara,0.063590399996037
Jordan Rinaldi,nan
Vinc Pichel,-0.00767325568196389
Austin Arnett,nan
Sabah Homasi,nan
Mads Burnell,nan
Kalindra Faria,nan
Julian Marquez,nan
Carls John De Tomas,nan
Antonio Braga Neto,nan
David Teymur,0.4953086958577879
Amanda Cooper,nan
Barb Honchak,nan
Christina Marks,nan
DeAnna Bennett,nan
Nicco Montano,nan
Joe Soto,0.48405836496258886
Ariel Beck,nan
Karine Gevorgyan,nan
Michael Bisping,0.13733799680165826
Kailin Curran,nan
Wang Guan,nan
Cyril Asker,nan
Ryan Benoit,nan
Anthony Hamilton,nan
Alex Chambers,nan
Nate Marquardt,0.0572654979572524
Jake Collier,nan
Johny Hendricks,0.44775633032830514
Hacran Dias,nan
Marcelo Golm,nan
Artem Lobov,0.12188438768385698
Marcin Held,0.2744487035548713
Salim Touahri,nan
Pearl Gonzalez,nan
Takanori Gomi,0.04892173552047273
Syuri Kondo,nan
Daichi Abe,nan
Hector Lombard,0.19184524738826847
Luke Rockhold,-0.11007180799989058
Jason Saggo,0.4951003171264779
Mitch Clarke,nan
Francimar Barroso,nan
Bojan Mihajlovic,nan
Alvaro Herrera Mendoza,nan
Damian Grabowski,nan
Rafael Natal,0.48080924971048067
Frankie Perez,nan
James Mulheron,nan
Charlie Ward,nan
Leslie Smith,nan
Daniel Omielanczuk,0.07514641663659347
Travis Browne,0.046066993612168095
Joachim Christensen,nan
Josh Stansbury,nan
Dong Hyun Kim,0.26476663819356
Tarec Saffiedine,nan
Naoki Inoue,nan
Kwan Ho Kwak,nan
Kiichi Kunimoto,nan
Paulo Costa,-0.040966343013744806
Erick Silva,nan
Marco Beltran,nan
Luan Chagas,nan
Oliver Enkamp,-0.11492377113775781
Nicholas Musoke,nan
Reza Madadi,nan
Hector Sandoval,0.054393862935911176
Jessica Penne,nan
Patrick Williams,nan
Will Brooks,nan
Brad Pickett,0.15739403268752217
Rony Jason,-0.08200525987188242
Garreth McLellan,nan
Sam Sicilia,-0.022949050949535997
Anderson Silva,-0.13408174261110334
Abel Trujillo,0.42078847640324474
Daniel Jolly,nan
Henrique da Silva,-0.11941540554965177
Bobby Nash,nan
Marcos Rogerio de Lima,nan
Jason Gonzalez,nan
Dmitrii Smoliakov,nan
Jocelyn Jones-Lybarger,nan
Brandon Thatch,nan
James Moontasri,nan
Cole Miller,-0.019554964872435507
Bojan Velickovic,nan
Valerie Letourneau,nan
Tim Kennedy,nan
Zach Makovsky,0.03780929499610699
Joseph Gigliotti,nan
Tiago dos Santos e Silva,nan
Juliana Lima,nan
Keith Berish,nan
Elvis Mutapcic,nan
Kyle Noke,0.10355972056142046
Yusuke Kasuya,nan
Seo Hee Ham,nan
Richard Walsh,nan
